_id,acceleration,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,inside_color,mileage,model,price,url,volume,year
62c022b15ac6166d04f2a703,8.8,تیتانیوم,دو لکه رنگ,coupe,kia,4 سیلندر ,7.8,بنزینی,مشکی,220000,ceratokoup,650000000,https://bama.ir/car/detail-rmhhhpud-kia-ceratokoup-2010,2,2010
62c022b15ac6166d04f2a704,11,سفید,یک لکه رنگ,passenger_car,peugeot,4 سیلندر XU7 ,9.1,بنزینی,کرم,210000,pars,185000000,https://bama.ir/car/detail-q81k5i87-peugeot-pars-mt-1391,1.8,2012
62c022b15ac6166d04f2a705,13.2,سفید,بدون رنگ,passenger_car,peugeot,4 سیلندر TU5 ,7.5,بنزینی,کرم,60000,pars,325000000,https://bama.ir/car/detail-8e4x4q81-peugeot-pars-lx-1399,1.6,2020
62c022b15ac6166d04f2a706,15,سفید,بدون رنگ,crossover,changan,4 سیلندر ,7.2,بنزینی,مشکی,78000,cs35ir,530000000,https://bama.ir/car/detail-8exgboi2-changan-cs35ir-1397,1.6,2018
62c022b15ac6166d04f2a707,13.2,مشکی,بدون رنگ,passenger_car,peugeot,4 سیلندر TU5 ,7.5,بنزینی,کرم,0,pars,380000000,https://bama.ir/car/detail-389zi634-peugeot-pars-lx-1400,1.6,2021
62c022b15ac6166d04f2a708,13,سفید,بدون رنگ,hatchback,quick,4 سیلندر M15 یورو5 ,7.1,بنزینی,طوسی,19000,manuals,218000000,https://bama.ir/car/detail-xw1zsoro-quick-manuals-1400,1.5,2021
62c022b15ac6166d04f2a709,11.6,خاکستری,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,0,207,415000000,https://bama.ir/car/detail-5iv3jxsj-peugeot-207-manualpanorama-1401,1.6,2022
62c022b15ac6166d04f2a70a,14.1,سفید,چند لکه رنگ,hatchback,peugeot,4 سیلندر TU3 ,6.4,بنزینی,مشکی,50000,206ir,245000000,https://bama.ir/car/detail-174fp6c3-peugeot-206ir-type2-1399,1.4,2020
62c022b15ac6166d04f2a70b,6.7,نوک مدادی,بدون رنگ,crossover,porsche,4 سیلندر توربوشارژ ,7.4,بنزینی,کرم,22000,macan,6850000000,https://bama.ir/car/detail-ppkr5mki-porsche-macan-2017,2,2017
62c022b15ac6166d04f2a70c,10.5,سفید,بدون رنگ,crossover,haima,4 سیلندر توربوشارژ ,8.6,بنزینی,مشکی,0,s7,964000000,https://bama.ir/car/detail-nxk3jf9f-haima-s7-1.8lturboplus-1401,1.8,2022
62c022b15ac6166d04f2a70d,9,مشکی,دو درب رنگ,passenger_car,hyundai,4 سیلندر MPI ,8.7,بنزینی,مشکی,242000,sonata,750000000,https://bama.ir/car/detail-mbg2ey43-hyundai-sonata-4cylautomatic-2009,2.4,2009
62c022b15ac6166d04f2a70e,13,سفید,بدون رنگ,hatchback,quick,4 سیلندر M15 یورو4 ,7,بنزینی,طوسی,0,manual,212000000,https://bama.ir/car/detail-m7xtndw3-quick-manual-1401,1.5,2022
62c022b15ac6166d04f2a70f,9.5,سفید,بدون رنگ,passenger_car,dena,4 سیلندر توربوشارژ EF7 ,8.1,بنزینی,مشکی,0,plus,514000000,https://bama.ir/car/detail-zsjonufq-dena-plus-turboautomatic-1401,1.7,2022
62c022b15ac6166d04f2a710,13.5,سفید,بدون رنگ,passenger_car,dena,4 سیلندر EF7 ,7.9,بنزینی,کرم,36000,plus,375000000,https://bama.ir/car/detail-jqtj79k4-dena-plus-basicmanual-1398,1.7,2019
62c022b25ac6166d04f2a711,11.4,سفید,بدون رنگ,passenger_car,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,162000,206sd,253000000,https://bama.ir/car/detail-6y89m26-peugeot-206sd-v8-1395,1.6,2016
62c022b25ac6166d04f2a712,12.7,سفید,دو لکه رنگ,pickup,arisun,4 سیلندر دوگانه سوز (OHV G2) ,9.2,دوگانه سوز,مشکی,173000,arisan,149000000,https://bama.ir/car/detail-a5pm5wza-arisun-arisan-1.7liter-1395,1.7,2016
62c022b25ac6166d04f2a713,6.7,سفید,گلگیر رنگ,crossover,bmw,6 سیلندر توربوشارژ ,10.9,بنزینی,شتری,138000,x6,3850000000,https://bama.ir/car/detail-433wxw4x-bmw-x6-35-2012,3,2012
62c022b25ac6166d04f2a714,11,سفید,بدون رنگ,passenger_car,peugeot,4 سیلندر XU7 ,9.1,بنزینی,کرم,0,pars,302000000,https://bama.ir/car/detail-qh4n2iw-peugeot-pars-mt-1400,1.8,2021
62c022b25ac6166d04f2a715,9,مشکی,بدون رنگ,crossover,haima,4 سیلندر توربوشارژ ,8,بنزینی,مشکی,0,s5,850000000,https://bama.ir/car/detail-mchk59im-haima-s5-6at-1401,1.5,2022
62c022b25ac6166d04f2a716,13.4,آبی,یک لکه رنگ,hatchback,pride,4 سیلندر یورو4 بهینه (M13) ,6.4,بنزینی,طوسی,19300,111,128000000,https://bama.ir/car/detail-eoz1m3om-pride-111-se-1393,1.3,2014
62c022b25ac6166d04f2a717,9.9,سفید,بدون رنگ,passenger_car,mg,4 سیلندر توربوشارژ ,7.7,بنزینی,کرم,180000,6,530000000,https://bama.ir/car/detail-sw26esg-mg-6-magnette-2012,1.8,2012
62c022b25ac6166d04f2a718,13.1,سفید,بدون رنگ,passenger_car,samand,4 سیلندر XU7 ,8.3,بنزینی,کرم,28000,lx,258000000,https://bama.ir/car/detail-uadns8yo-samand-lx-basic-1399,1.8,2020
62c022b25ac6166d04f2a719,9.8,مشکی,بدون رنگ,crossover,borgward,4 سیلندر توربوشارژ ,9,بنزینی,قهوه ای,48000,bx7,1750000000,https://bama.ir/car/detail-3mseskkc-borgward-bx7-ultimate-2018,2,2018
62c022b25ac6166d04f2a71a,15,سفید,بدون رنگ,crossover,changan,4 سیلندر ,7.2,بنزینی,مشکی,50000,cs35ir,555000000,https://bama.ir/car/detail-qiz7apd-changan-cs35ir-1397,1.6,2018
62c022b25ac6166d04f2a71b,9.5,سفید,چند لکه رنگ,passenger_car,citroen,4 سیلندر XU10 ,7,بنزینی,مشکی,205000,xantia,170000000,https://bama.ir/car/detail-f1r5soeg-citroen-xantia-2.0sx-1388,2,2009
62c022b25ac6166d04f2a71c,6.4,سفید,بدون رنگ,crossover,bmw,4 سیلندر توربوشارژ (N20B20) ,7.4,بنزینی,موکا,60000,x4,4500000000,https://bama.ir/car/detail-xzroq3fs-bmw-x4-28-2016,2,2016
62c022b25ac6166d04f2a71d,13.4,سفید,بدون رنگ,hatchback,pride,4 سیلندر یورو4 بهینه (M13) ,6.4,بنزینی,طوسی,0,111,195000000,https://bama.ir/car/detail-e3k22jh6-pride-111-se-1398,1.3,2019
62c022b25ac6166d04f2a71e,13.5,نقره ای,بدون رنگ,suv,toyota,4 سیلندر ,12.4,بنزینی,مشکی,146000,prado2doors,1890000000,https://bama.ir/car/detail-g8bva6m7-toyota-prado2doors-4cylinder-2008,2.7,2008
62c022b25ac6166d04f2a71f,13.5,سفید,بدون رنگ,passenger_car,dena,4 سیلندر EF7 ,7.7,بنزینی,مشکی,17000,1.7,363000000,https://bama.ir/car/detail-46wpa8s9-dena-1.7-1398,1.7,2019
62c022b25ac6166d04f2a720,11.6,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.4,بنزینی,مشکی,60000,206ir,298000000,https://bama.ir/car/detail-mvqkdgn6-peugeot-206ir-type5-1398,1.6,2019
62c022b25ac6166d04f2a721,12,سفید,بدون رنگ,passenger_car,samand,4 سیلندر EF7 یورو 5 ,7.5,بنزینی,مشکی,9700,soren,340000000,https://bama.ir/car/detail-wxcjarh4-samand-soren-plus-1400,1.7,2021
62c022b25ac6166d04f2a722,13.5,سفید,بدون رنگ,passenger_car,dena,4 سیلندر EF7 ,7.9,بنزینی,مشکی,0,plus,448000000,https://bama.ir/car/detail-y22vpkm-dena-plus-basicmanual-1401,1.7,2022
62c022b25ac6166d04f2a723,10.5,سفید,بدون رنگ,crossover,jac,4 سیلندر ,7.6,بنزینی,مشکی,97000,j5,430000000,https://bama.ir/car/detail-vevejcvj-jac-j5-at-1396,1.8,2017
62c022b25ac6166d04f2a724,10.5,مشکی,بدون رنگ,passenger_car,kia,4 سیلندر ,7.9,بنزینی,مشکی,65000,ceratoir,738000000,https://bama.ir/car/detail-c8sngrgn-kia-ceratoir-2000basic-1395,2,2016
62c022b25ac6166d04f2a725,13.4,سفید,بدون رنگ,passenger_car,pride,4 سیلندر یورو4 بهینه (M13) ,6.4,بنزینی,طوسی,14000,131,170000000,https://bama.ir/car/detail-z4n7tsfe-pride-131-se-1399,1.3,2020
62c022b25ac6166d04f2a726,11.6,سفید,کاپوت تعویض,hatchback,peugeot,4 سیلندر TU5 ,6.4,بنزینی,مشکی,119000,206ir,225000000,https://bama.ir/car/detail-dhe1tjq-peugeot-206ir-type5-1396,1.6,2017
62c022b25ac6166d04f2a727,10.5,سفید,کاپوت تعویض,crossover,jac,4 سیلندر ,7.6,بنزینی,مشکی,78000,j5,360000000,https://bama.ir/car/detail-hvmzhfb-jac-j5-at-1396,1.8,2017
62c022b25ac6166d04f2a728,12,سفید,بدون رنگ,passenger_car,samand,4 سیلندر EF7 ,7.5,دوگانه سوز,کرم,118000,lx,270000000,https://bama.ir/car/detail-13t6mktv-samand-lx-ef7cng-1396,1.7,2017
62c022b25ac6166d04f2a729,13.6,سفید,بدون رنگ,hatchback,quick,4 سیلندر M15 ,7,بنزینی,مشکی,0,atfullplus,330000000,https://bama.ir/car/detail-cojqe6uh-quick-atfullplus-1401,1.5,2022
62c022b25ac6166d04f2a72a,9.2,سفید,بدون رنگ,passenger_car,mazda,4 سیلندر ,7.6,بنزینی,سفید,55000,3sedan,1135000000,https://bama.ir/car/detail-ihzof2w6-mazda-3sedan-2.0ltype4-1397,2,2018
62c022b25ac6166d04f2a72b,12.8,سفید,بدون رنگ,passenger_car,saina,4 سیلندر M15 یورو4 ,7,بنزینی,نقره ای,9000,exmt,205000000,https://bama.ir/car/detail-ucmh7y4h-saina-exmt-1400,1.5,2021
62c022b25ac6166d04f2a72c,9.5,سفید,صافکاری بدون رنگ,passenger_car,citroen,4 سیلندر XU10 ,7,بنزینی,مشکی,142000,xantia,350000000,https://bama.ir/car/detail-mao2uz-citroen-xantia-2.0sx-1386,2,2007
